date,level,appr,R,tod,win50_20,win100_30,lv,conf,pen,press30,flow30,dvel15,flow3,res3,big3,vol3_rel,dtouch,fav60,fav90,thr60,held50,held100,broke20
2025-03-20,PDEQ,below,-1,17,0,0,19924.625,0,1.125,-86.25,-597,-790,-268,-21.75,-32,0.9040911435791166,-22,31.125,31.125,180.375,0,0,1
2025-03-20,PMH,below,-1,56,1,0,20073.25,1,9.25,-183.5,-985,-244,-92,-18.25,19,1.1416363454284477,-145,64.25,108.25,31.75,1,1,1
2025-03-21,ASIAL,below,-1,168,0,0,19823.0,0,17.0,-126.75,-612,-1313,-736,-35.0,-155,1.3021853805576489,-148,2.25,21.75,73.25,0,0,1
2025-03-21,LDNH,below,-1,260,1,0,19897.0,0,2.25,-52.75,-282,-347,-113,-18.0,9,1.2498837101125686,60,65.25,84.25,3.0,1,0,0
2025-03-21,LDNL,below,-1,53,1,0,19759.5,1,3.25,-59.0,-718,-403,-378,-42.5,-28,1.1244439962802373,-171,64.25,80.25,52.5,1,0,1
2025-03-21,PDC,below,-1,207,1,0,19880.75,1,6.5,-23.5,-328,412,-737,-25.25,-471,1.5556943104198595,-861,79.5,79.5,19.25,1,0,0
2025-03-21,PDL,below,-1,53,1,0,19756.0,1,6.75,-59.0,-718,-403,-378,-42.5,-28,1.1244439962802373,-171,60.75,76.75,56.0,1,0,1
2025-03-21,PMH,below,-1,182,1,0,19872.75,1,0.5,-164.25,-1849,-330,-243,-18.5,4,0.9384470686592122,-126,71.5,71.5,23.5,1,0,1
2025-03-24,LDNH,below,-1,1,0,0,20262.75,0,1.75,36.75,-259,-121,-164,25.25,-3,4.928402832415421,78,33.5,33.5,84.75,0,0,1
2025-03-24,ONH,below,-1,8,0,0,20286.0,1,3.5,-0.75,-1148,-1020,-868,-49.0,-338,1.7355004884980902,-343,39.0,39.0,64.0,0,0,1
2025-03-24,PMH,below,-1,8,0,0,20286.0,1,3.5,-0.75,-1148,-1020,-868,-49.0,-338,1.7355004884980902,-343,39.0,39.0,64.0,0,0,1
2025-03-25,ASIAH,above,1,13,1,1,20374.75,1,5.75,-54.25,-443,781,-568,-29.75,-40,1.533981785515148,-905,105.25,120.5,13.0,1,1,0
2025-03-25,LDNH,below,-1,1,1,0,20416.5,1,2.75,3.25,-195,233,-165,-6.25,-11,4.8787262872628725,-63,54.75,54.75,39.25,1,0,1
2025-03-25,ONH,below,-1,59,0,0,20447.5,1,7.25,-42.5,-389,212,-393,-20.75,-29,1.3943004854674987,-373,25.75,25.75,47.75,0,0,1
2025-03-25,PDC,above,1,18,1,1,20365.75,1,3.5,-59.0,-552,81,-410,-30.0,1,0.8983890954151176,-527,122.75,129.5,4.0,1,1,0
2025-03-25,PDH,below,-1,1,0,0,20409.5,1,9.75,3.25,-195,233,-165,-6.25,-11,4.8787262872628725,-63,47.75,47.75,46.25,0,0,1
2025-03-25,PMH,below,-1,59,0,0,20447.5,1,7.25,-42.5,-389,212,-393,-20.75,-29,1.3943004854674987,-373,25.75,25.75,47.75,0,0,1
2025-03-26,ASIAL,below,-1,2,1,1,20458.5,0,2.0,40.25,306,13,-230,2.25,-7,4.265503550858357,66,231.5,231.5,16.5,1,1,0
2025-03-26,LDNL,above,1,3,0,0,20429.5,3,14.5,-57.0,-745,-55,-281,-24.5,-63,3.854649258271328,-426,45.5,45.5,202.5,0,0,1
2025-03-26,ONL,above,1,3,0,0,20429.5,3,14.5,-57.0,-745,-55,-281,-24.5,-63,3.854649258271328,-426,45.5,45.5,202.5,0,0,1
2025-03-26,PDEQ,above,1,3,0,0,20428.5,3,13.5,-57.0,-745,-55,-281,-24.5,-63,3.854649258271328,-426,46.5,46.5,201.5,0,0,1
2025-03-26,PDL,above,1,23,0,0,20361.75,0,3.0,-80.0,-1623,-1993,-578,-24.75,-69,1.1978478736185425,-180,17.5,17.5,134.75,0,0,1
2025-03-26,PML,above,1,3,0,0,20429.5,3,14.5,-57.0,-745,-55,-281,-24.5,-63,3.854649258271328,-426,45.5,45.5,202.5,0,0,1
2025-03-27,ASIAH,below,-1,67,0,0,20147.75,3,2.0,-77.25,-993,-932,-313,-20.5,-172,0.9882535460992907,-303,62.5,108.75,51.75,1,1,1
2025-03-27,ASIAL,below,-1,1,1,1,20049.5,1,22.75,19.5,562,414,-135,-25.5,-81,4.524183193037524,-9,112.25,112.25,80.75,1,1,1
2025-03-27,LDNH,below,-1,66,0,0,20138.5,3,0.5,-33.75,-419,-1072,-92,-6.25,-10,0.8004703428843999,143,47.25,99.5,61.0,0,0,1
2025-03-27,ONH,below,-1,67,0,0,20147.75,3,2.0,-77.25,-993,-932,-313,-20.5,-172,0.9882535460992907,-303,62.5,108.75,51.75,1,1,1
2025-03-27,ONL,above,1,2,0,0,20003.25,1,4.5,-59.0,-1530,-289,-813,-25.5,-101,4.838691387424165,-966,127.0,196.25,66.0,1,1,1
2025-03-27,PDC,below,-1,59,0,0,20112.25,0,9.75,-44.25,-92,-52,-651,-41.0,-128,1.325018135360163,-352,5.75,71.75,87.25,0,0,1
2025-03-27,PMH,below,-1,66,0,0,20138.5,3,0.5,-33.75,-419,-1072,-92,-6.25,-10,0.8004703428843999,143,47.25,99.5,61.0,0,0,1
2025-03-28,ASIAL,below,-1,12,1,1,19931.25,1,7.5,-23.75,-1479,-978,-278,-24.75,29,1.367274878450077,-266,344.75,376.25,10.25,1,1,0
2025-03-28,LDNL,above,1,3,1,0,19845.25,2,4.25,-12.0,262,-209,-112,-41.0,-137,2.7747985072286507,-155,96.25,96.25,240.25,1,0,1
2025-03-28,ONL,above,1,3,1,0,19845.25,2,4.25,-12.0,262,-209,-112,-41.0,-137,2.7747985072286507,-155,96.25,96.25,240.25,1,0,1
2025-03-28,PDL,below,-1,12,1,1,19937.25,1,1.5,-23.75,-1479,-978,-278,-24.75,29,1.367274878450077,-266,350.75,382.25,4.25,1,1,0
2025-03-28,PML,above,1,3,1,0,19852.25,2,11.25,-12.0,262,-209,-112,-41.0,-137,2.7747985072286507,-155,89.25,89.25,247.25,1,0,1
2025-03-31,ASIAH,below,-1,178,1,0,19272.25,2,10.0,-55.25,-24,-153,-301,-40.5,-43,1.269110275689223,-155,63.25,64.75,35.5,1,0,1
2025-03-31,LDNH,below,-1,178,1,0,19272.25,2,10.0,-55.25,-24,-153,-301,-40.5,-43,1.269110275689223,-155,63.25,64.75,35.5,1,0,1
2025-03-31,LDNL,above,1,2,0,0,19118.5,2,33.75,-120.5,-2107,-1243,-1285,-77.75,-290,5.134250826418403,-763,49.5,59.5,141.75,0,0,1
2025-03-31,ONH,below,-1,282,0,0,19365.0,0,1.5,-127.75,-499,-628,210,-32.0,12,1.5516537362188647,-53,48.75,48.75,58.5,0,0,1
2025-03-31,ONL,above,1,2,0,0,19118.5,2,33.75,-120.5,-2107,-1243,-1285,-77.75,-290,5.134250826418403,-763,49.5,59.5,141.75,0,0,1
2025-03-31,PDC,below,-1,372,1,0,19461.0,0,7.0,-43.0,-317,-552,-448,-49.75,-102,1.3736028757354044,-33,64.25,64.25,28.75,1,0,1
2025-03-31,PDL,below,-1,342,1,0,19421.5,0,2.0,-23.5,426,-278,-196,-30.25,6,1.2276605161546328,-20,68.75,68.75,68.25,1,0,1
2025-03-31,PMH,below,-1,178,1,0,19272.25,2,10.0,-55.25,-24,-153,-301,-40.5,-43,1.269110275689223,-155,63.25,64.75,35.5,1,0,1
2025-03-31,PML,above,1,2,0,0,19118.5,2,33.75,-120.5,-2107,-1243,-1285,-77.75,-290,5.134250826418403,-763,49.5,59.5,141.75,0,0,1
2025-04-01,ASIAH,below,-1,2,0,0,19400.0,0,14.0,-9.25,-746,-767,-1000,-26.5,33,4.32684994023688,-319,138.75,138.75,62.5,1,1,1
2025-04-01,ASIAL,above,1,50,0,1,19283.25,1,11.75,-165.5,-1390,-723,-332,-27.0,37,0.7212102658298893,-181,317.25,322.75,22.0,1,1,1
2025-04-01,LDNH,below,-1,89,0,0,19511.0,2,8.5,-183.0,-1317,-479,-93,-39.5,16,0.9556841959567834,-104,8.25,8.25,95.0,0,0,1
2025-04-01,LDNL,above,1,41,0,0,19311.25,1,10.5,-80.75,-794,-421,-281,-17.5,-47,1.0205077172237509,-210,245.75,293.0,50.0,1,1,1
2025-04-01,ONH,below,-1,89,0,0,19511.0,2,8.5,-183.0,-1317,-479,-93,-39.5,16,0.9556841959567834,-104,8.25,8.25,95.0,0,0,1
2025-04-01,ONL,above,1,50,0,1,19283.25,1,11.75,-165.5,-1390,-723,-332,-27.0,37,0.7212102658298893,-181,317.25,322.75,22.0,1,1,1
2025-04-01,PDC,below,-1,18,1,1,19450.0,0,12.5,-59.25,-2696,-1484,-497,-49.0,-186,1.1036466582919149,-10,188.75,188.75,15.0,1,1,0
2025-04-01,PDH,below,-1,82,0,0,19489.75,0,2.5,-168.0,-1219,-1249,-417,-39.0,-71,1.1576866456361725,52,18.0,18.0,116.25,0,0,1
2025-04-01,PMH,below,-1,89,0,0,19511.0,2,8.5,-183.0,-1317,-479,-93,-39.5,16,0.9556841959567834,-104,8.25,8.25,95.0,0,0,1
2025-04-01,PML,above,1,41,0,0,19311.25,1,10.5,-80.75,-794,-421,-281,-17.5,-47,1.0205077172237509,-210,245.75,293.0,50.0,1,1,1
2025-04-02,ASIAH,below,-1,110,0,0,19646.75,1,3.5,-38.0,-531,162,-890,-53.5,-160,1.4867773116906804,-702,35.25,35.25,96.5,0,0,1
2025-04-02,ASIAL,below,-1,15,0,0,19548.0,0,5.0,-194.0,-1166,-1444,-687,-66.0,-17,1.0682878762526262,-386,56.75,56.75,82.0,1,0,1
2025-04-02,LDNH,below,-1,31,0,0,19585.0,0,14.25,-235.0,-2334,-265,-394,-38.25,-48,1.3352252368462543,-139,93.75,93.75,54.75,1,0,1
2025-04-02,LDNL,below,-1,5,0,0,19424.0,0,20.5,-67.5,284,339,-698,-88.5,-212,2.9035922748462415,-74,-13.0,-13.0,206.0,0,0,1
2025-04-02,ONH,below,-1,115,1,0,19697.0,0,3.0,-98.75,-1033,-540,-378,-27.0,-107,1.4167899242526105,-347,85.5,85.5,53.75,1,0,1
2025-04-02,ONL,above,1,1,1,1,19319.5,1,3.0,-12.75,-797,-589,-467,21.75,-70,4.700115340253749,-27,301.25,320.25,0.0,1,1,0
2025-04-02,PDC,below,-1,32,1,1,19603.5,0,8.0,-260.0,-2693,-499,-633,-78.5,-85,1.4201640541603462,-175,112.25,112.25,36.25,1,1,1
